CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster,Cluster_numeric
12346.0,325,2,0.0,3,3,3,333,1,1
12347.0,1,7,4310.0,1,1,1,111,0,0
12348.0,74,4,1797.24,2,2,1,221,0,0
12349.0,18,1,1757.55,1,3,1,131,0,0
12350.0,309,1,334.4,3,3,3,333,1,1
12352.0,35,11,1545.41,2,1,1,211,0,0
12353.0,203,1,89.0,3,3,3,333,1,1
12354.0,231,1,1079.4,3,3,2,332,1,1
12355.0,213,1,459.4,3,3,2,332,1,1
12356.0,22,3,2811.43,1,3,1,131,0,0
12357.0,32,1,6207.67,2,3,1,231,0,0
12358.0,1,2,1168.06,1,3,1,131,0,0
12359.0,7,6,6182.9800000000005,1,1,1,111,0,0
12360.0,51,3,2662.06,2,3,1,231,0,0
12361.0,286,1,189.9,3,3,3,333,1,1
12362.0,2,13,5154.58,1,1,1,111,0,0
12363.0,109,2,552.0,3,3,2,332,0,0
12364.0,7,4,1313.1,1,2,1,121,0,0
12365.0,290,3,320.69,3,3,3,333,1,1
12367.0,3,1,168.9,1,3,3,133,0,0
12370.0,50,4,3541.94,2,2,1,221,0,0
12371.0,44,2,1887.96,2,3,1,231,0,0
12372.0,71,3,1298.04,2,3,1,231,0,0
12373.0,310,1,364.6,3,3,3,333,1,1
12374.0,24,1,742.9300000000001,2,3,2,232,0,0
12375.0,2,3,455.42,1,3,2,132,0,0
12377.0,314,2,1628.12,3,3,1,331,1,1
12378.0,129,1,4008.62,3,3,1,331,0,0
12379.0,81,3,850.29,2,3,2,232,0,0
12380.0,21,5,2720.56,1,2,1,121,0,0
12381.0,4,6,1803.96,1,1,1,111,0,0
12383.0,184,6,1839.31,3,1,1,311,1,1
12384.0,28,3,566.16,2,3,2,232,0,0
12386.0,337,2,401.9,3,3,2,332,1,1
12388.0,15,6,2780.66,1,1,1,111,0,0
12390.0,79,1,549.84,2,3,2,232,0,0
12391.0,21,1,439.66,1,3,2,132,0,0
12393.0,71,4,1582.6000000000001,2,2,1,221,0,0
12394.0,63,2,1272.48,2,3,1,231,0,0
12395.0,15,15,2998.28,1,1,1,111,0,0
12397.0,35,2,2409.9,2,3,1,231,0,0
12398.0,45,1,1635.6599999999999,2,3,1,231,0,0
12399.0,118,4,1108.65,3,2,2,322,0,0
12401.0,302,1,84.3,3,3,3,333,1,1
12402.0,322,1,225.6,3,3,3,333,1,1
12403.0,49,2,409.7,2,3,2,232,0,0
12405.0,148,1,1710.39,3,3,1,331,1,1
12406.0,21,3,3280.75,1,3,1,131,0,0
12407.0,49,5,1708.1200000000001,2,2,1,221,0,0
12408.0,32,9,2842.57,2,1,1,211,0,0
12409.0,78,7,11056.93,2,1,1,211,0,0
12410.0,300,3,681.0799999999999,3,3,2,332,1,1
12412.0,74,3,1226.88,2,3,1,231,0,0
12413.0,66,5,694.15,2,2,2,222,0,0
12414.0,216,3,562.41,3,3,2,332,1,1
12415.0,23,26,123725.45,1,1,1,111,2,2
12417.0,2,12,3578.8,1,1,1,111,0,0
12418.0,112,1,668.58,3,3,2,332,0,0
12420.0,63,1,600.39,2,3,2,232,0,0
12421.0,15,5,806.27,1,2,2,122,0,0
12422.0,95,3,803.5600000000001,3,3,2,332,0,0
12423.0,0,9,1849.11,1,1,1,111,0,0
12424.0,162,2,1760.96,3,3,1,331,1,1
12425.0,77,1,777.2,2,3,2,232,0,0
12426.0,194,1,582.73,3,3,2,332,1,1
12427.0,11,5,708.37,1,2,2,122,0,0
12428.0,25,12,7877.2,2,1,1,211,0,0
12429.0,8,4,3750.4,1,2,1,121,0,0
12430.0,42,1,256.4,2,3,3,233,0,0
12431.0,35,18,6348.89,2,1,1,211,0,0
12432.0,42,5,5059.32,2,2,1,221,0,0
12433.0,0,7,13375.87,1,1,1,111,0,0
12434.0,84,4,765.19,2,2,2,222,0,0
12435.0,79,2,7829.89,2,3,1,231,0,0
12436.0,99,1,509.01,3,3,2,332,0,0
12437.0,1,19,4896.66,1,1,1,111,0,0
12438.0,13,2,2906.85,1,3,1,131,0,0
12441.0,366,1,173.55,3,3,3,333,1,1
12442.0,2,1,172.06,1,3,3,133,0,0
12444.0,20,5,5005.46,1,2,1,121,0,0
12445.0,21,1,133.4,1,3,3,133,0,0
12446.0,57,1,1002.3100000000001,2,3,2,232,0,0
12447.0,242,1,476.49,3,3,2,332,1,1
12448.0,43,1,449.45,2,3,2,232,0,0
12449.0,21,4,4067.29,1,2,1,121,0,0
12450.0,155,2,197.88,3,3,3,333,1,1
12451.0,10,6,8933.52,1,1,1,111,0,0
12452.0,16,3,428.57,1,3,2,132,0,0
12453.0,133,1,707.09,3,3,2,332,0,0
12454.0,52,2,5.684341886080802e-14,2,3,3,233,0,0
12455.0,72,6,2466.86,2,1,1,211,0,0
12456.0,43,4,3153.89,2,2,1,221,0,0
12457.0,57,12,1917.78,2,1,1,211,0,0
12458.0,70,2,947.4,2,3,2,232,0,0
12461.0,93,2,826.88,3,3,2,332,0,0
12462.0,1,4,1124.01,1,2,2,122,0,0
12463.0,45,7,1303.63,2,1,1,211,0,0
12464.0,9,8,1212.05,1,1,1,111,0,0
12465.0,7,3,733.89,1,3,2,132,0,0
12468.0,142,3,724.0400000000001,3,3,2,332,0,0
12471.0,1,49,18705.52,1,1,1,111,3,3
12472.0,30,13,6229.48,2,1,1,211,0,0
12473.0,28,9,2837.73,2,1,1,211,0,0
12474.0,16,30,7064.7699999999995,1,1,1,111,3,3
12475.0,53,1,723.38,2,3,2,232,0,0
12476.0,0,20,6546.58,1,1,1,111,0,0
12477.0,22,9,13117.01,1,1,1,111,0,0
